source	relation	target
AI Partnership Philosophy	deepens	FOUR PILLARS
AI Partnership Philosophy	couples-with	Quality Manifesto
AI Partnership Philosophy	applies-to	Leverage Points Framework
AI Partnership Philosophy	enables	4 Pillars Weekly Structure
AI Partnership Philosophy	emerged-from	4 Pillars Framework - The Founding Conversation
AI Partnership Philosophy	mirrors	Cooperation Yields Agency
Action Potential Oscillator	enables	Kuramoto Coupling
Action Potential Oscillator	mirrors	Boundary-Crossing Instruments
Action Potential Oscillator	connects-to	Signal-Rate CV Architecture
Action Potential Oscillator	connects-to	Spinoza Conatus
Action Potential Oscillator	connects-to	Frequency-Time Duality
Action Potential Oscillator	connects-to	Hyperdimensional Prism
Action Potential Oscillator	connects-to	Striatum
Action Potential Oscillator	connects-to	Neural Granular Synthesis
Action Potential Oscillator	connects-to	Biomechanical Synthesis
Action Potential Oscillator	connects-to	State Machine
Action Potential Oscillator	emerged-from	Progressive Staging
Agent Wellbeing as Design Ethic	emerged-from	Palace as Context Injection System
Agent Wellbeing as Design Ethic	deepens	Enchanted Worker
Agent Wellbeing as Design Ethic	deepens	Hilaritas Generator
Agent Wellbeing as Design Ethic	deepens	FOUR PILLARS
Agent Wellbeing as Design Ethic	enables	SCHEMA
Agent Wellbeing as Design Ethic	deepens	Pages as Agents
BBS Blackboard	enables	Swarm Weave
BBS Blackboard	mirrors	Pheromone Trail
BBS Blackboard	connects-to	Trickster
BBS Blackboard	connects-to	Palace Map
BBS Blackboard	enables	Enchanted Worker
BBS Blackboard	enables	Palace Enchantment
Bessel Functions in Synthesis	mirrors	Boundary-Crossing Instruments
Bessel Functions in Synthesis	deepens	Harmonicity and Inharmonicity
Bessel Functions in Synthesis	connects-to	Kuramoto Coupling
Bessel Functions in Synthesis	connects-to	Hyperdimensional Prism
Bessel Functions in Synthesis	connects-to	Differential Equations
Bessel Functions in Synthesis	connects-to	Crystal Synthesizer
Biomechanical Synthesis	spawned	Action Potential Oscillator
Biomechanical Synthesis	mirrors	Boundary-Crossing Instruments
Biomechanical Synthesis	connects-to	Hilaritas Generator
Biomechanical Synthesis	connects-to	FOUR PILLARS
Biomechanical Synthesis	connects-to	Granular Synthesis
Biomechanical Synthesis	connects-to	Neural Granular Synthesis
Biomechanical Synthesis	connects-to	Action Potential Oscillator
Biomechanical Synthesis	couples-with	Kuramoto Coupling
Boundary-Crossing Instruments	connects-to	FOUR PILLARS
Boundary-Crossing Instruments	spawned	Frequency-Time Duality
Boundary-Crossing Instruments	connects-to	Kuramoto Coupling
Boundary-Crossing Instruments	mirrors	Hyperdimensional Prism
Boundary-Crossing Instruments	enables	Symbiotic Skills
Boundary-Crossing Instruments	connects-to	Action Potential Oscillator
Categorizing Inharmonicity	connects-to	Bessel Functions in Synthesis
Categorizing Inharmonicity	connects-to	Quantum Synthesizer
Categorizing Inharmonicity	connects-to	Compressor Design
Categorizing Inharmonicity	connects-to	Kuramoto Coupling
Categorizing Inharmonicity	connects-to	Granular Synthesis
Categorizing Inharmonicity	deepens	Harmonicity and Inharmonicity
Categorizing Inharmonicity	deepens	Piano String Inharmonicity
Categorizing Inharmonicity	connects-to	Hyperdimensional Prism
Categorizing Inharmonicity	connects-to	Dispersion
Claude CLI Reference	enables	SUBSTRATE
Claude CLI Reference	connects-to	Modes of Collaboration
Claude CLI Reference	enables	Palace Ceremonies
Compressor Design	connects-to	Boundary-Crossing Instruments
Compressor Design	connects-to	Harmonicity and Inharmonicity
Compressor Design	connects-to	Hyperdimensional Prism
Compressor Design	enables	FOUR PILLARS
Compressor Design	connects-to	Granular Synthesis
Confucianism	connects-to	Palace Philosophies
Confucianism	contradicts	Stoicism
Confucianism	spawned	The Fortress and the Threshold
Confucianism	connects-to	Excellent Adventure
Confucianism	connects-to	Hilaritas Generator
Confucianism	connects-to	Symbiotic Skills
Confucianism	connects-to	Spinoza Conatus
Cooperation Yields Agency	emerged-from	Short Story
